"","NSRNAME","DEP_ecosite","nPOLY","DEP_Area","DEP_Area_perc","DEPordNum","Classification","Upland","Color","DEPord"
"91","Lower Boreal Highlands",22,1,0,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"92","Upper Boreal Highlands",22,1,0,0,22,"Medium-Hygric Black Spruce Mix",0,"#39AE2C","22_Medium-Hygric Black Spruce Mix"
"93","Athabasca Plain",25,1005,988.120205179497,0.4,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"94","Central Mixedwood",25,16026,16006.905867602,1.7,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"95","Lower Boreal Highlands",25,766,754.242180973757,0.9,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"96","Upper Boreal Highlands",25,3280,3270.24343626201,2.7,25,"Medium-Hydric Shrub (Poor Fen)",0,"#9EB373","25_Medium-Hydric Shrub (Poor Fen)"
"97","Athabasca Plain",26,11608,11305.7826078506,4.9,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"98","Central Mixedwood",26,91208,90634.662678767,9.4,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"99","Lower Boreal Highlands",26,452,440.62133341399,0.5,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"100","Upper Boreal Highlands",26,2583,2574.16261058301,2.1,26,"Medium-Hydric Black Spruce Fen (Poor Fen)",0,"#75AC00","26_Medium-Hydric Black Spruce Fen (Poor Fen)"
"101","Athabasca Plain",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"102","Central Mixedwood",27,476,476,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"103","Lower Boreal Highlands",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"104","Upper Boreal Highlands",27,1,0,0,27,"Rich-Mesic Grassland",1,"#AFFFA3","27_Rich-Mesic Grassland"
"105","Athabasca Plain",28,128,127.000010837734,0.1,28,"Rich-Hygric Shrubland",0,"#99FF89","28_Rich-Hygric Shrubland"
